Data Type     Size(byte)    Algorithm         Memory(byte)
best          1024          Brute-Force       107.07421875
best          1024          Rabin-Karp        107.07421875
best          1024          KMP               107.07421875
best          1024          Aho-Corasick      107.10546875
best          1024          Z-function        107.10546875
random        1024          Brute-Force       107.109375
random        1024          Rabin-Karp        107.109375
random        1024          KMP               107.109375
random        1024          Aho-Corasick      107.109375
random        1024          Z-function        107.109375
worst         1024          Brute-Force       107.109375
worst         1024          Rabin-Karp        107.109375
worst         1024          KMP               107.109375
worst         1024          Aho-Corasick      107.109375
worst         1024          Z-function        107.109375
best          10240         Brute-Force       107.05859375
best          10240         Rabin-Karp        107.05859375
best          10240         KMP               107.05859375
best          10240         Aho-Corasick      107.05859375
best          10240         Z-function        107.05859375
random        10240         Brute-Force       107.05859375
random        10240         Rabin-Karp        107.05859375
random        10240         KMP               107.05859375
random        10240         Aho-Corasick      107.05859375
random        10240         Z-function        107.05859375
worst         10240         Brute-Force       107.05859375
worst         10240         Rabin-Karp        107.05859375
worst         10240         KMP               107.05859375
worst         10240         Aho-Corasick      107.05859375
worst         10240         Z-function        107.05859375
best          102400        Brute-Force       107.05859375
best          102400        Rabin-Karp        107.05859375
best          102400        KMP               107.05859375
best          102400        Aho-Corasick      107.05859375
best          102400        Z-function        107.61328125
random        102400        Brute-Force       107.61328125
random        102400        Rabin-Karp        107.61328125
random        102400        KMP               107.61328125
random        102400        Aho-Corasick      107.61328125
random        102400        Z-function        107.7109375
worst         102400        Brute-Force       107.71484375
worst         102400        Rabin-Karp        107.71484375
worst         102400        KMP               107.6875
worst         102400        Aho-Corasick      107.6875
worst         102400        Z-function        107.78125
best          1048576       Brute-Force       108.78515625
best          1048576       Rabin-Karp        108.78515625
best          1048576       KMP               108.78515625
best          1048576       Aho-Corasick      108.78515625
best          1048576       Z-function        117.79296875
random        1048576       Brute-Force       108.78515625
random        1048576       Rabin-Karp        108.78515625
random        1048576       KMP               108.78515625
random        1048576       Aho-Corasick      108.78515625
random        1048576       Z-function        117.79296875
worst         1048576       Brute-Force       108.78515625
worst         1048576       Rabin-Karp        108.78515625
worst         1048576       KMP               108.78515625
worst         1048576       Aho-Corasick      108.78515625
worst         1048576       Z-function        117.79296875
best          10485760      Brute-Force       117.78515625
best          10485760      Rabin-Karp        117.78515625
best          10485760      KMP               117.78515625
best          10485760      Aho-Corasick      117.78515625
best          10485760      Z-function        207.79296875
random        10485760      Brute-Force       117.78515625
random        10485760      Rabin-Karp        117.78515625
random        10485760      KMP               117.78515625
random        10485760      Aho-Corasick      117.78515625
random        10485760      Z-function        207.79296875
worst         10485760      Brute-Force       117.78515625
worst         10485760      Rabin-Karp        117.78515625
worst         10485760      KMP               117.78515625
worst         10485760      Aho-Corasick      117.78515625
worst         10485760      Z-function        207.79296875
